Time (s),A_x,A_y,A_z,Gyr_x,Gyr_y,Gyr_z,freq,speed,state
0,-4.937589645,4.652843475,8.30668354,0.058106847,-0.256937623,-0.034283802,1003.170769,1.074654078,cycling
0.01768965,-4.518546581,4.640879631,8.117650986,-0.334820658,-1.286978841,-0.431105465,997.9697056,-0.691704473,cycling
0.21768965,-3.402892828,4.724628448,7.923532963,-1.759698272,-1.050886393,-0.014889402,996.8669199,-1.068595239,cycling
0.41768965,-1.966302037,5.062315464,9.719047546,-0.64444387,2.805697918,0.562590301,999.0915082,-0.309168073,cycling
0.61768965,3.619144201,1.720140338,9.723833084,-1.785888314,0.112624966,0.646200061,1002.382521,0.808131864,cycling
0.81768965,-3.817150354,0.364905447,9.534799576,2.800811052,-3.02628994,-2.617785931,1003.660513,1.240035279,cycling
0.847479208,-2.320738792,-3.142374277,9.000901222,-0.581526577,-2.184160709,0.443016976,996.0296629,-1.355295605,cycling
0.89748025,0.085244305,11.0309124,-0.939481974,-0.208833411,0.616421223,-0.785854995,1004.500518,1.52332044,cycling
0.947481292,2.54656148,-5.888437271,11.67278671,0.145152584,-0.263656944,-0.346884876,1004.679219,1.583524845,cycling
0.997482333,-0.781256616,-0.954138041,7.966603756,-0.143396392,-0.259075582,0.019088976,1000.748794,0.254399464,cycling
1.01768965,3.559024572,0.990030348,9.731011391,0.001450762,-0.095979378,-0.115679197,1004.719504,1.597093764,cycling
1.047483375,5.165505886,-1.361217022,7.959425449,0.485852629,0.448132813,-0.327108711,998.2988024,-0.579392843,cycling
1.097484417,4.435395718,1.978565216,9.305088997,0.163172573,-0.096819289,0.216545358,1001.79072,0.6077564,cycling
1.147485458,4.629214287,-1.720140338,7.930711746,-0.045126341,0.015194826,0.044286426,996.173296,-1.306077318,cycling
1.1974865,3.754338741,2.681456804,9.217452049,0.311990231,0.020387027,0.257777542,998.8568727,-0.389108077,cycling
1.21768965,4.461717129,1.617249012,8.013263702,-0.138204187,0.200663328,-0.193256795,1003.52902,1.195647303,cycling
1.247487542,4.746761799,-1.728515267,9.072686195,-0.149886653,-0.187911883,-0.212803915,1003.589405,1.216032903,cycling
